# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
2RSSE	2RSSE		2RSSE|Caenorhabditis elegans
3R5	3R5		3R5|Caenorhabditis elegans
4R79	4R79		4R79|Caenorhabditis elegans
6L7	6L7		Caenorhabditis elegans
6R55	6R55		6R55|Caenorhabditis elegans
2026X1	2026X1		Caenorhabditis elegans
2026X2	2026X2		Caenorhabditis elegans
A1	A1		Caenorhabditis elegans
A2	A2		Caenorhabditis elegans
A3	A3		GH332767|Caenorhabditis elegans
A5	A5		GH333534|Caenorhabditis elegans
A6	A6		Caenorhabditis elegans
A8	A8		Caenorhabditis elegans
A11	A11		Caenorhabditis elegans
A12	A12		Caenorhabditis elegans
A13	A13		Caenorhabditis elegans
A14	A14		Caenorhabditis elegans
A15	A15		Caenorhabditis elegans
A16	A16		Caenorhabditis elegans
A17	A17		Caenorhabditis elegans
A18	A18		Caenorhabditis elegans
A19	A19		Caenorhabditis elegans
A20	A20		Caenorhabditis elegans
A22	A22		Caenorhabditis elegans
A23	A23		Caenorhabditis elegans
A24	A24		Caenorhabditis elegans
A25	A25		Caenorhabditis elegans
A26	A26		Caenorhabditis elegans
A28	A28		Caenorhabditis elegans
A29	A29		Caenorhabditis elegans
A30	A30		Caenorhabditis elegans
A31	A31		Caenorhabditis elegans
A33	A33		Caenorhabditis elegans
A34	A34		Caenorhabditis elegans
A35	A35		Caenorhabditis elegans
A37	A37		Caenorhabditis elegans
A38	A38		Caenorhabditis elegans
A39	A39		Caenorhabditis elegans
A40	A40		Caenorhabditis elegans
A41	A41		Caenorhabditis elegans
A43	A43		Caenorhabditis elegans
A44	A44		Caenorhabditis elegans
A45	A45		Caenorhabditis elegans
A46	A46		Caenorhabditis elegans
A47	A47		Caenorhabditis elegans
A48	A48		Caenorhabditis elegans
A49	A49		Caenorhabditis elegans
A50	A50		Caenorhabditis elegans
A51	A51		Caenorhabditis elegans
A52	A52		Caenorhabditis elegans
A53	A53		Caenorhabditis elegans
A55	A55		Caenorhabditis elegans
A56	A56		Caenorhabditis elegans
A57	A57		Caenorhabditis elegans
A58	A58		Caenorhabditis elegans
A59	A59		Caenorhabditis elegans
A60	A60		Caenorhabditis elegans
A61	A61		Caenorhabditis elegans
A63	A63		Caenorhabditis elegans
A64	A64		Caenorhabditis elegans
A65	A65		Caenorhabditis elegans
A67	A67		Caenorhabditis elegans
A68	A68		Caenorhabditis elegans
A69	A69		Caenorhabditis elegans
