# File Name: WormBase_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# Source File URL:
# - ftp://ftp.wormbase.org/pub/wormbase/species/c_elegans/annotation/geneIDs/c_elegans.canonical_bioproject.current.geneIDs.txt.gz
# 
# Source File Retreival Date: 2017.04.13
# 
# Edited:
# - unzipped
# - Extension changed from .txt to .tsv
# - Changed from CSV-format to TSV-format (i.e. changed commas to tabs)
# - Labelled Columns, in row 1: -, MOD ID, Symbol, -, Notes
# - Deleted Columns 1 and 4 (of 5 original columns)
# - Removed all rows whose 5th cell value equalled "Dead"
# - Added two blank columns between MOD ID and Notes, called Synonyms and Name
# - Added these pound-sign commented-out notes at the top of this file.
# 
# Note: 
# Original file had 50993 rows, comprising:
# 48321 "Live" rows
# + 353 "Suppressed" rows
# (2319 "Dead" rows - not included here)
# ------
# 48674 rows included here
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
WBGene00000001	aap-1			Live
WBGene00000002	aat-1			Live
WBGene00000003	aat-2			Live
WBGene00000004	aat-3			Live
WBGene00000005	aat-4			Live
WBGene00000006	aat-5			Live
WBGene00000007	aat-6			Live
WBGene00000008	aat-7			Live
WBGene00000009	aat-8			Live
WBGene00000010	aat-9			Live
WBGene00000011	abc-1			Live
WBGene00000012	abf-1			Live
WBGene00000013	abf-2			Live
WBGene00000014	abf-3			Live
WBGene00000015	abf-4			Live
WBGene00000016	abf-5			Live
WBGene00000017	abf-6			Live
WBGene00000018	abl-1			Live
WBGene00000019	abt-1			Live
WBGene00000020	abt-2			Live
WBGene00000021	abt-3			Live
WBGene00000022	abt-4			Live
WBGene00000023	abt-5			Live
WBGene00000024	abu-1			Live
WBGene00000025	abu-2			Live
WBGene00000026	abu-3			Live
WBGene00000027	abu-4			Live
WBGene00000028	abu-5			Live
WBGene00000029	abu-6			Live
WBGene00000030	abu-7			Live
WBGene00000031	abu-8			Live
WBGene00000032	abu-9			Live
WBGene00000033	abu-10			Live
WBGene00000034	abu-11			Live
WBGene00000035	ace-1			Live
WBGene00000036	ace-2			Live
WBGene00000037	ace-3			Live
WBGene00000038	ace-4			Live
