# File Name: RGD_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# More notes: TBA (to be added, in a future version)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
1595727	2463a1a2			
1594428	2310ex4-5			
1595726	2464a1			
1595729	2458a2			
1595728	2461a1a2			
1594469	2509a1			
1594425	2361ex4-5			
1594463	2539a1a2			
1594461	2543a1			
1594455	2609a1a2			
1594457	2600a1a2			
1594451	2619a1_ps2	2626a1a2		
1594452	2619a1_ps1	2619a1		
1594450	2641a1			
1594448	2646a1a2			
1594446	2661a1a2			
1594445	2664a1			
1594443	2669a1			
1594437	2690a1-a1a2			
1594441	2673a1a2			
1594435	2705a1			
1594436	2702a1			
1594438	2683a1			
1594432	2715a1			
1594431	2722a1a2			
1594427	2331ex4-5			
1595782	2788a1a2			
1595781	2795a1			
1597057	2743a1			
1597055	2759a1			
1597048	2781a1			
1597051	2768a1a2			
1597056	2747a1a2			
1597053	2764a1			
1595779	2800a1a2			
1595777	2812a1a2			
1595776	2824a1			
1595774	2829a1a2			
1595768	2865a2			
1595771	2846a1a2			
1595766	2869a1a2			
1595770	2860a1			
1595760	2901a1a2			
1595758	2906a1			
1595763	2879a1			
1595762	2886a1-a1a2			
1595757	2920a1a2			
1595756	2927a1			
1595753	2941a1a2			
1595751	2945a1a2			
1595749	2950a1			
1595748	2953a1a2			
1595747	2959a1			
1595746	2976a1			
1595744	2981a1a2			
1595742	2984a1a2			
1595739	2994a1			
1597074	3252a3			
1597082	3082ex4-5			
1597073	3258a2			
1597072	3281a3			
1597070	3298a3			
69417	A1bg	C44		
619834	A1cf	A1cft|Acf|Apobec-1		
1596803	A26c2	LOC680085|Tssk1b		
2004	A2m	A2MAC1|A2m1|A2maa|A2mb|AI893533|MGC114358|Mam|RATA2MAC1		
1565709	A2ml1	LOC362442|RGD1565709		
727913	A3galt2	LOC171553|iGb3S		
621583	A4galt	Gb3		
1590210	A4gnt	LOC315951|LOC685758		
1303072	AA926063			
1308701	Aaas	LOC300259		
708522	Aacs	LOC65984		
631440	Aadac	Aada		
1563197	Aadacl2	LOC295076|RGD1563197		
1563257	Aadacl3	LOC313686|RGD1563257		
1565761	Aadacl4	LOC313688|RGD1565761		
2948	Aadat	Kat2		
1589650	Aaed1	LOC498685		
621601	Aagab	P34		
1305520	Aak1	LOC312519|LOC500244|RGD1563580		
1561459	Aamdc	LOC361606|RGD1561459		
1306281	Aamp	LOC301512		
2006	Aanat	AA-NAT|Nat4		
1311066	Aar2	LOC296312|RGD1311066		
631378	Aard	A5D3|rA5D3		
1304832	Aars	LOC292023		
