# File Name: genetic_markers_2017.04.10(edited).tsv
#
# File Type: tab-separated values
# 
# Source File URL: 
# - https://zfin.org/downloads/archive/2017.04.10/genetic_markers.txt
# 
# Edited: 
# - extension changed from .txt to .tsv
# - date line commented out with "#" (pound sign)
# - removed extra columns (original 4: marker type, and original 5: SO ID)
# - added a column between original 2: Marker Symbol, and original 3: Marker Name; called it (new column 3) Synonyms.
# - added a column after all existing columns; called it (new column 5) Curator Comments
# - added these notes, with each line preceded by "#", at the top of this file.
# 
# Source file retrieval date: 2017.04.11
# 
# Source-file Header:
# Date: 2017.04.10				
# 
# Source-file Column Headers:
# Marker ID	Marker Symbol	- (N/A)	Marker Name	- (N/A)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
ZDB-ATB-081002-10	zn-10		zn-10	
ZDB-ATB-081002-11	zn-11		zn-11	
ZDB-ATB-081002-12	zn-12		zn-12	
ZDB-ATB-081002-13	zn-13		zn-13	
ZDB-ATB-081002-14	zn-14		zn-14	
ZDB-ATB-081002-15	zn-15		zn-15	
ZDB-ATB-081002-16	zn-2		zn-2	
ZDB-ATB-081002-17	zn-3		zn-3	
ZDB-ATB-081002-18	zn-4		zn-4	
ZDB-ATB-081002-19	zn-5		zn-5	
ZDB-ATB-081002-2	anti-dlx3b		anti-DLX3b	
ZDB-ATB-081002-20	zn-6		zn-6	
ZDB-ATB-081002-21	zn-7		zn-7	
ZDB-ATB-081002-22	zn-8		zn-8	
ZDB-ATB-081002-23	zn-9		zn-9	
ZDB-ATB-081002-24	zna-1		zna-1	
ZDB-ATB-081002-25	znp-1		znp-1	
ZDB-ATB-081002-26	znp-2		znp-2	
ZDB-ATB-081002-27	znp-3		znp-3	
ZDB-ATB-081002-28	znp-4		znp-4	
ZDB-ATB-081002-29	znp-5		znp-5	
ZDB-ATB-081002-3	anti-tbx16		anti-Tbx16	
ZDB-ATB-081002-30	znp-6		znp-6	
ZDB-ATB-081002-31	znp-7		znp-7	
ZDB-ATB-081002-32	znp-8		znp-8	
ZDB-ATB-081002-33	zns-1		zns-1	
ZDB-ATB-081002-34	zns-2		zns-2	
ZDB-ATB-081002-35	zns-3		zns-3	
ZDB-ATB-081002-36	zns-4		zns-4	
ZDB-ATB-081002-37	zns-5		zns-5	
ZDB-ATB-081002-38	zns-6		zns-6	
ZDB-ATB-081002-39	zns-7		zns-7	
ZDB-ATB-081002-4	zl-1		zl-1	
ZDB-ATB-081002-40	znt-1		znt-1	
ZDB-ATB-081002-41	znu-1		znu-1	
ZDB-ATB-081002-42	znu-2		znu-2	
ZDB-ATB-081002-43	zpr-1		zpr-1	
ZDB-ATB-081002-44	zpr-2		zpr-2	
ZDB-ATB-081002-45	zpr-3		zpr-3	
ZDB-ATB-081002-46	zrf-1		zrf-1	
ZDB-ATB-081002-47	zrf-2		zrf-2	
ZDB-ATB-081002-48	zrf-3		zrf-3	
ZDB-ATB-081002-49	zrf-4		zrf-4	
ZDB-ATB-081002-5	zm-1		zm-1	
ZDB-ATB-081002-50	zs-1		zs-1	
ZDB-ATB-081002-51	zs-2		zs-2	
ZDB-ATB-081002-52	zs-3		zs-3	
ZDB-ATB-081002-53	zs-4		zs-4	
ZDB-ATB-081002-54	ab-s46		Ab-S46	
ZDB-ATB-081002-55	ab1-gfp		Ab1-GFP	
ZDB-ATB-081002-56	ab2-gfp		Ab2-GFP	
ZDB-ATB-081002-6	zm-2		zm-2	
ZDB-ATB-081002-7	zm-3		zm-3	
ZDB-ATB-081002-8	zm-4		zm-4	
ZDB-ATB-081002-9	zn-1		zn-1	
ZDB-ATB-081003-1	ab-f59		Ab-F59	
ZDB-ATB-081003-2	ab1-elavl		Ab1-elavl	
ZDB-ATB-081003-3	ab1-pan-cadherin		Ab1-pan-Cadherin	
ZDB-ATB-081003-4	ab1-cdh1		AB1-cdh1	
ZDB-ATB-081003-5	ab1-dag1		Ab1-dag1	
ZDB-ATB-081003-6	ab1-tuba		Ab1-tuba	
ZDB-ATB-081006-1	ab-mf20		Ab-MF20	
ZDB-ATB-081006-2	ab-pax7		Ab-Pax7	
ZDB-ATB-081006-3	ab1-prox1		Ab1-prox1	
ZDB-ATB-081006-4	ab1-h3		Ab1-h3	
ZDB-ATB-081006-5	ab1-myod1		Ab1-myod1	
ZDB-ATB-081006-6	ab1-isl1		Ab1-isl1	
ZDB-ATB-081006-7	ab1-pax6		Ab1-pax6	
ZDB-ATB-081006-8	ab-g3g4		Ab-G3G4	
ZDB-ATB-081006-9	ab1-ins		Ab1-ins	
ZDB-ATB-081007-1	ab1-cdh6		Ab1-cdh6	
ZDB-ATB-081007-2	ab1-calb2		Ab1-calb2	
ZDB-ATB-081007-3	ab1-cx43		Ab1-cx43	
ZDB-ATB-081007-4	ab1-calca		Ab1-calca	
ZDB-ATB-081007-5	ab2-tuba		Ab2-tuba	
ZDB-ATB-081008-1	ab1-pxn		Ab1-pxn	
