ZDB-GENE-000112-32	couptf3		chicken ovalbumin upstream promoter transcription factor 3	
ZDB-GENE-000112-34	couptf4		chicken ovalbumin upstream promoter transcription factor 4	
ZDB-GENE-000112-36	couptf5		chicken ovalbumin upstream promoter transcription factor 5	
ZDB-GENE-000112-40	ppara2		peroxisome proliferator activated receptor alpha 2	
ZDB-GENE-000112-47	ppardb		peroxisome proliferator-activated receptor delta b	
ZDB-GENE-000125-12	igfbp2a		insulin-like growth factor binding protein 2a	
ZDB-GENE-000125-4	dlc		deltaC	
ZDB-GENE-000128-11	dbx1b		developing brain homeobox 1b	
ZDB-GENE-000128-13	dbx2		developing brain homeobox 2	
ZDB-GENE-000128-8	dbx1a		developing brain homeobox 1a	
ZDB-GENE-000201-13	anos1b		anosmin 1b	
ZDB-GENE-000201-18	pbx4		pre-B-cell leukemia transcription factor 4	
ZDB-GENE-000201-9	anos1a		anosmin 1a	
ZDB-GENE-000208-13	crestin		crestin	
ZDB-GENE-000208-17	calr3a		calreticulin 3a	
ZDB-GENE-000208-18	urod		uroporphyrinogen decarboxylase	
ZDB-GENE-000208-20	mixl1		Mix paired-like homeobox	
ZDB-GENE-000208-21	kifc1		kinesin family member C1	
ZDB-GENE-000208-23	col11a2		collagen, type XI, alpha 2	
ZDB-GENE-000208-25	bmp7a		bone morphogenetic protein 7a	
ZDB-GENE-000208-28	ccl27a		chemokine (C-C motif) ligand 27a	
ZDB-GENE-000208-4	zic1		zic family member 1 (odd-paired homolog, Drosophila)	
ZDB-GENE-000208-8	copg2		coatomer protein complex, subunit gamma 2	
ZDB-GENE-000208-9	cmn		calymmin	
ZDB-GENE-000209-3	robo1		roundabout, axon guidance receptor, homolog 1 (Drosophila)	
ZDB-GENE-000209-4	robo3		roundabout, axon guidance receptor, homolog 3 (Drosophila)	
ZDB-GENE-000210-10	tpst1		tyrosylprotein sulfotransferase 1	
ZDB-GENE-000210-13	nccrp1		non-specific cytotoxic cell receptor protein 1	
ZDB-GENE-000210-15	btg2		B-cell translocation gene 2	
ZDB-GENE-000210-17	hug		HuG	
ZDB-GENE-000210-19	rbp4		retinol binding protein 4, plasma	
ZDB-GENE-000210-20	cat		catalase	
ZDB-GENE-000210-21	inhbaa		inhibin, beta Aa	
ZDB-GENE-000210-23	meis2b		Meis homeobox 2b	
ZDB-GENE-000210-25	khdrbs1a		KH domain containing, RNA binding, signal transduction associated 1a	
ZDB-GENE-000210-28	chico		chico	
ZDB-GENE-000210-31	vdra		vitamin D (1,25- dihydroxyvitamin D3) receptor a	
ZDB-GENE-000210-32	nme2b.1		NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 1	
ZDB-GENE-000210-33	nme2b.2		NME/NM23 nucleoside diphosphate kinase 2b, tandem duplicate 2	
