## FlyBase Gene Snapshot Report
## Generated: Fri Jan 27 16:03:04 2017
## Using datasource: dbi:Pg:dbname=fb_2017_01_reporting;host=flysql15;port=5432...
##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0285896	btl	breathless		In progress.
FBgn0285892	tea	telomere ends associated		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0285879	disco-r	disco-related		In progress.
FBgn0284408	trol	terribly reduced optic lobes		In progress.
FBgn0284257	Ttd14	TRPL translocation defect 14		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284256	bsf	bicoid stability factor		In progress.
FBgn0284255	Arpc4	Actin-related protein 2/3 complex, subunit 4		In progress.
FBgn0284254	Ranbp11	-		In progress.
FBgn0284253	LeuRS	Leucyl-tRNA synthetase		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284252	Letm1	Leucine zipper and EF-hand containing transmembrane protein 1		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284251	l(2)05287	lethal (2) 05287		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284250	Oaz	O/E-associated zinc finger protein		In progress.
FBgn0284249	Adf1	Adh transcription factor 1		In progress.
FBgn0284248	Cyt-c-p	Cytochrome c proximal		In progress.
FBgn0284247	ds	dachsous		In progress.
FBgn0284246	l(2)k09848	lethal (2) k09848		In progress.
FBgn0284245	eEF1alpha1	eukaryotic translation elongation factor 1 alpha 1		In progress.
FBgn0284244	l(2)k05911	lethal (2) k05911		In progress.
FBgn0284243	betaTub56D	beta-Tubulin at 56D		In progress.
FBgn0284237	CG46321	-		In progress.
FBgn0284236	CG46320	-		In progress.
FBgn0284235	CG46319	-		In progress.
FBgn0284234	CG46318	-		In progress.
FBgn0284233	CG46317	-		In progress.
FBgn0284232	CG46316	-		In progress.
FBgn0284231	CG46315	-		In progress.
FBgn0284230	CG46314	-		In progress.
FBgn0284229	CG46313	-		In progress.
FBgn0284228	CG46312	-		In progress.
FBgn0284227	CG46311	-		In progress.
FBgn0284226	CG46310	-		In progress.
FBgn0284225	CG46309	-		In progress.
FBgn0284224	CG46308	-		In progress.
FBgn0284223	CG46307	-		In progress.
FBgn0284222	CG46306	-		In progress.
FBgn0284221	Sema5c	Semaphorin 5c		In progress.
FBgn0284220	Top2	Topoisomerase 2		Topoisomerase 2  is an enzyme that alters the topology of DNA by creating a transient DNA double strand breakage. It is essential for removing supercoils generated via DNA replication and transcription, and decatenating replicated sister chromosomes during cell division.
FBgn0284084	wg	wingless		Wingless (Wg) is a segment polarity gene that encodes a ligand of the Wnt/Wg signaling pathway. Wg post-translational modification (addition of palmitoleate by por) is essential for signaling activity. Wg contributes to segment polarity, tissue growth and patterning, neuromuscular junction morphogenesis, gut homeostasis and long term memory formation.
FBgn0284083	CG46305	-		In progress.
FBgn0284082	CG46304	-		In progress.
FBgn0284081	CG46303	-		In progress.
FBgn0284080	CG46302	-		In progress.
FBgn0284444	ddbt	deadbeat		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284442	Mcm3	Minichromosome maintenance 3		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284436	CCT8	Chaperonin containing TCP1 subunit 8		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0284435	tyn	trynity		Trynity (Tyn) protein belongs to the ZP-domain proteins family known as extracellular modular proteins. These proteins are secreted and anchored to the membrane or released into the extracellular space to form specialized extracellular matrices.
FBgn0284421	Psn	Presenilin		In progress.
FBgn0283741	prage	prage		In progress.
FBgn0283728	CG31600	-		In progress.
FBgn0283724	Girdin	Girdin		In progress.
