#MGI Accession ID	Chr	cM Position	genome coordinate start	genome coordinate end	strand	Marker Symbol	Status	Marker Name	Marker Type	Feature Type	Marker Synonyms (pipe-separated)
MGI:1915571	0610007P14Rik	RIKEN cDNA 0610007P14 gene	ORF11
MGI:1915684	1010001N08Rik	RIKEN cDNA 1010001N08 gene	Gata6as
MGI:1929274	1110004F10Rik	RIKEN cDNA 1110004F10 gene	sid2057
MGI:1920987	1110008P14Rik	RIKEN cDNA 1110008P14 gene	C79326
MGI:1920971	1110017D15Rik	RIKEN cDNA 1110017D15 gene	Smrp1|Cbe1
MGI:1916111	1190002N15Rik	RIKEN cDNA 1190002N15 gene	GoPro49
MGI:2388574	11MMHAP75FRD8.seq	DNA segment, 11MMHAP75FRD8.seq	11MMseq
MGI:1919025	1300017J02Rik	RIKEN cDNA 1300017J02 gene	mICA
MGI:1338043	13.MMHAP42FLE1	DNA segment, 13.MMHAP42FLE1	ESTM58
MGI:1923933	1500002F19Rik	RIKEN cDNA 1500002F19 gene	BC002195
MGI:1926146	1500015O10Rik	RIKEN cDNA 1500015O10 gene	Ecrg4
MGI:1920499	1600017P15Rik	RIKEN cDNA 1600017P15 gene	Gm24413
MGI:1916607	1700003E24Rik	RIKEN cDNA 1700003E24 gene	ENSMUSG00000067646
MGI:1923949	1700003I16Rik	RIKEN cDNA 1700003I16 gene	Gm44368
MGI:1922878	1700010L13Rik	RIKEN cDNA 1700010L13 gene	ENSMUSG00000074760
MGI:1916590	1700010N08Rik	RIKEN cDNA 1700010N08 gene	Gm42380
MGI:1922764	1700013H16Rik	RIKEN cDNA 1700013H16 gene	Xlr6|Slx2
MGI:2686532	1700015F17Rik	RIKEN cDNA 1700015F17 gene	LOC381716
MGI:1923663	1700016D06Rik	RIKEN cDNA 1700016D06 gene	GC14
MGI:1919458	1700016L21Rik	RIKEN cDNA 1700016L21 gene	Jr3
MGI:1921461	1700017B05Rik	RIKEN cDNA 1700017B05 gene	D9Ertd278e
MGI:1916632	1700024P04Rik	RIKEN cDNA 1700024P04 gene	H2BL1
MGI:1919533	1700029B24Rik	RIKEN cDNA 1700029B24 gene	Gm37384
MGI:1919496	1700030C12Rik	RIKEN cDNA 1700030C12 gene	ENSMUSG00000073112
MGI:1920579	1700040F15Rik	RIKEN cDNA 1700040F15 gene	Gm21563
MGI:1920544	1700040L08Rik	RIKEN cDNA 1700040L08 gene	Gm44195
MGI:1920636	1700048M11Rik	RIKEN cDNA 1700048M11 gene	Gm15980
MGI:1920644	1700049E15Rik	RIKEN cDNA 1700049E15 gene	Gm15761
